DIA,TMP,RH,PM10
1.0,17.879,53.474,36.789
2.0,19.336,44.5,32.071
3.0,16.391,56.043,24.957
4.0,15.33,71.45,26.2
5.0,14.696,73.826,25.217
6.0,14.522,69.087,20.739
7.0,14.836,76.909,19.636
8.0,13.573,75.045,14.636
9.0,15.387,68.043,23.696
10.0,16.291,70.0,21.478
11.0,14.286,75.952,16.762
12.0,13.665,86.217,14.043
13.0,14.14,79.15,17.95
14.0,14.143,74.13,16.957
15.0,15.22,72.05,25.45
16.0,16.427,65.545,18.773
17.0,15.891,69.522,22.826
18.0,13.618,80.765,21.647
19.0,13.132,82.045,18.682
20.0,14.83,69.783,22.261
21.0,14.327,73.682,40.591
22.0,14.43,68.913,36.696
23.0,14.078,76.522,24.261
24.0,14.122,77.087,16.13
25.0,16.248,65.048,27.381
26.0,16.629,61.524,26.667
12.0,8.87,74.435,22.783
13.0,8.648,78.913,49.087
14.0,9.117,74.087,56.826
15.0,12.909,56.136,33.318
16.0,14.81,52.05,21.65
17.0,14.448,49.304,21.609
18.0,15.683,51.435,40.261
19.0,15.165,51.391,47.261
20.0,15.2,58.261,35.087
21.0,16.33,54.391,37.478
22.0,16.939,43.957,38.217
23.0,17.209,28.087,43.957
24.0,16.848,37.043,50.652
25.0,16.057,50.609,41.87
26.0,15.522,45.13,36.087
27.0,14.948,40.217,34.739
28.0,15.404,40.739,30.0
4.0,17.339,42.261,53.217
5.0,15.639,51.522,54.522
6.0,13.748,63.913,63.043
7.0,14.278,59.739,52.522
8.0,14.841,56.636,44.0
9.0,14.939,46.261,41.696
10.0,10.8,68.444,23.0
9.0,17.6,48.174,47.826
10.0,17.048,44.043,44.0
11.0,13.209,76.045,50.364
12.0,15.239,63.13,33.565
13.0,15.522,61.087,39.957
14.0,16.274,55.913,38.478
15.0,16.374,53.826,38.913
16.0,17.061,46.174,42.696
17.0,16.47,52.043,47.348
18.0,17.178,45.696,35.696
19.0,17.022,42.913,24.609
20.0,17.691,38.783,34.565
21.0,13.9,63.75,44.25
30.0,12.9,74.833,36.333
1.0,14.465,56.739,31.391
2.0,12.674,75.913,35.391
3.0,15.296,62.304,27.217
4.0,14.922,68.043,31.783
5.0,15.913,63.739,35.043
6.0,14.37,67.25,26.5
7.0,14.9,66.5,25.591
8.0,15.819,61.476,23.81
9.0,17.155,55.136,35.045
10.0,17.248,52.0,32.261
11.0,17.057,49.048,33.81
12.0,13.836,72.455,27.182
13.0,13.168,80.5,33.364
14.0,13.809,71.818,20.545
15.0,14.378,72.652,29.348
16.0,14.222,75.391,26.435
17.0,15.4,67.591,21.182
18.0,16.85,56.864,29.0
19.0,15.657,65.217,43.826
20.0,15.268,69.091,37.091
21.0,16.009,59.0,38.609
22.0,10.612,87.875,12.75
27.0,14.8,72.391,33.565
28.0,14.062,73.905,25.381
29.0,13.343,77.174,26.87
30.0,11.961,83.957,26.522
31.0,11.187,85.913,17.435
1.0,13.257,75.13,22.609
2.0,14.239,71.043,31.043
3.0,14.883,67.304,42.217
4.0,15.473,63.636,35.182
5.0,14.404,77.217,33.652
6.0,14.474,83.565,25.174
7.0,16.095,70.818,20.182
8.0,15.47,53.435,27.783
9.0,15.383,51.261,34.304
10.0,16.922,56.348,46.087
11.0,17.664,59.818,40.318
12.0,16.3,67.043,32.435
13.0,15.078,77.565,25.783
14.0,14.939,78.957,11.696
15.0,14.339,82.652,19.0
16.0,15.109,75.609,24.87
17.0,15.235,74.826,34.391
18.0,13.987,85.435,25.826
19.0,14.814,76.81,21.619
20.0,13.865,82.435,16.478
21.0,14.217,76.13,18.0
22.0,15.026,73.522,38.348
23.0,14.717,71.87,52.478
24.0,13.886,75.286,54.286
25.0,13.383,79.304,33.87
26.0,13.991,76.0,35.364
27.0,13.832,77.682,38.136
28.0,13.657,84.87,26.478
