DIA,TMP,RH,PM10
15,7.0,83.0,28.0
15,7.1,85.0,28.0
15,8.1,82.0,39.0
15,8.4,77.0,39.0
15,8.3,73.0,22.0
15,7.6,75.0,22.0
15,8.1,66.0,3.0
15,7.8,68.0,11.0
15,7.6,71.0,12.0
15,7.3,77.0,25.0
15,7.2,77.0,24.0
15,7.0,77.0,26.0
16,6.2,81.0,29.0
16,5.6,86.0,6.0
16,6.1,83.0,27.0
16,6.2,83.0,26.0
16,6.2,80.0,18.0
16,6.3,78.0,14.0
16,6.8,71.0,21.0
16,7.7,71.0,22.0
16,8.9,63.0,28.0
16,10.1,62.0,40.0
16,11.2,50.0,32.0
16,11.5,44.0,10.0
16,11.6,45.0,16.0
16,10.7,49.0,9.0
16,11.3,42.0,11.0
16,10.2,46.0,17.0
16,8.8,49.0,19.0
16,8.1,51.0,2.0
16,7.7,54.0,5.0
16,6.6,62.0,14.0
16,6.6,61.0,13.0
16,6.0,66.0,23.0
17,6.0,68.0,25.0
17,5.2,74.0,4.0
17,5.5,70.0,4.0
17,4.7,73.0,4.0
17,5.4,69.0,16.0
17,5.1,69.0,5.0
17,4.4,71.0,1.0
17,6.0,61.0,2.0
17,9.3,42.0,3.0
17,12.0,27.0,9.0
17,14.0,21.0,11.0
17,15.6,22.0,12.0
17,16.7,20.0,14.0
17,17.4,20.0,16.0
17,17.9,24.0,20.0
17,17.0,27.0,30.0
17,15.6,34.0,19.0
17,14.0,40.0,22.0
17,12.3,44.0,23.0
17,11.0,44.0,23.0
17,10.4,42.0,18.0
17,9.8,42.0,10.0
17,9.1,41.0,6.0
17,9.1,34.0,7.0
18,9.4,36.0,15.0
18,9.8,34.0,7.0
18,9.0,41.0,6.0
18,8.3,51.0,7.0
18,7.6,55.0,4.0
18,6.3,59.0,11.0
18,6.2,61.0,3.0
18,7.8,48.0,10.0
18,11.3,35.0,9.0
18,14.0,29.0,9.0
18,15.3,25.0,23.0
18,17.1,23.0,28.0
18,18.1,21.0,31.0
18,19.6,18.0,37.0
18,21.9,15.0,28.0
18,22.3,9.0,42.0
18,22.0,12.0,27.0
18,19.1,17.0,37.0
