DIA,TMP,RH,PM10
19,17.3,31.0,80.0
19,18.0,29.0,59.0
19,19.0,25.0,64.0
19,20.0,25.0,67.0
19,20.0,25.0,75.0
19,19.0,27.0,88.0
19,17.8,29.0,78.0
19,16.8,32.0,84.0
19,15.4,32.0,40.0
19,14.2,35.0,75.0
19,13.2,38.0,53.0
19,12.4,42.0,55.0
20,11.8,45.0,64.0
20,11.3,46.0,51.0
20,10.7,47.0,49.0
20,10.3,48.0,33.0
20,10.0,50.0,39.0
20,9.5,51.0,46.0
20,8.6,56.0,41.0
20,8.0,57.0,55.0
20,8.9,55.0,57.0
20,10.9,47.0,68.0
20,13.0,38.0,87.0
20,14.6,33.0,78.0
20,16.5,30.0,56.0
20,17.0,27.0,62.0
20,18.0,26.0,72.0
20,18.7,27.0,78.0
20,18.0,27.0,73.0
20,18.0,29.0,73.0
20,16.8,31.0,93.0
20,15.7,31.0,31.0
20,14.8,34.0,69.0
20,13.7,38.0,70.0
20,13.0,40.0,72.0
20,12.2,42.0,37.0
21,11.4,45.0,88.0
21,11.1,44.0,50.0
21,10.7,44.0,49.0
21,10.3,43.0,46.0
21,10.0,43.0,39.0
21,10.0,44.0,45.0
21,10.0,43.0,68.0
21,10.1,42.0,92.0
21,10.4,44.0,98.0
21,11.4,41.0,103.0
21,12.2,37.0,59.0
21,13.1,36.0,44.0
21,13.6,38.0,80.0
21,14.1,35.0,66.0
21,14.2,32.0,55.0
21,14.1,33.0,68.0
21,13.8,36.0,94.0
21,13.1,41.0,58.0
21,12.6,44.0,71.0
21,12.3,46.0,54.0
21,11.8,49.0,48.0
21,11.5,50.0,38.0
22,11.3,51.0,41.0
22,11.0,53.0,42.0
22,10.7,54.0,36.0
22,10.5,55.0,35.0
22,10.3,55.0,35.0
22,10.1,55.0,50.0
22,10.1,55.0,42.0
22,10.0,54.0,47.0
22,10.4,54.0,55.0
22,10.4,55.0,51.0
22,10.3,59.0,93.0
22,11.8,62.0,55.0
22,13.6,54.0,57.0
22,14.5,52.0,46.0
22,15.7,46.0,24.0
22,16.0,44.0,60.0
22,16.3,45.0,105.0
22,15.9,47.0,125.0
22,15.3,49.0,137.0
22,13.4,66.0,77.0
22,12.4,72.0,51.0
22,11.8,70.0,59.0
22,10.9,73.0,51.0
23,9.0,78.0,54.0
23,9.0,79.0,56.0
23,9.6,79.0,61.0
23,9.0,82.0,55.0
23,9.0,82.0,68.0
23,9.6,80.0,65.0
23,9.9,79.0,66.0
23,9.9,78.0,74.0
23,10.0,77.0,79.0
23,11.3,71.0,79.0
23,13.1,61.0,107.0
23,14.8,51.0,73.0
23,15.7,48.0,111.0
23,16.2,46.0,49.0
23,16.0,47.0,99.0
23,16.2,44.0,46.0
23,15.4,46.0,57.0
24,8.5,69.0,71.0
24,10.7,65.0,98.0
24,13.0,52.0,94.0
24,14.2,45.0,91.0
24,15.4,35.0,46.0
24,16.7,28.0,37.0
24,17.0,27.0,40.0
24,18.8,25.0,45.0
24,19.0,26.0,48.0
24,18.7,28.0,59.0
24,17.0,31.0,57.0
24,15.9,38.0,63.0
24,13.9,45.0,62.0
24,12.4,47.0,48.0
24,11.5,54.0,41.0
24,10.5,60.0,37.0
25,9.6,65.0,38.0
25,9.0,76.0,36.0
25,8.4,79.0,41.0
25,8.1,81.0,37.0
25,7.8,81.0,59.0
25,7.5,83.0,68.0
25,6.6,73.0,52.0
25,7.8,71.0,59.0
25,10.7,63.0,102.0
25,13.6,49.0,126.0
25,15.5,36.0,100.0
25,16.0,28.0,60.0
25,18.0,23.0,68.0
25,19.0,19.0,53.0
25,20.5,17.0,68.0
25,20.6,17.0,60.0
25,20.5,17.0,63.0
25,19.5,17.0,60.0
25,17.0,25.0,93.0
25,15.9,30.0,89.0
25,14.3,38.0,82.0
25,13.1,41.0,75.0
25,12.2,46.0,41.0
26,11.3,49.0,48.0
26,10.5,53.0,55.0
26,9.5,56.0,40.0
26,8.9,56.0,34.0
26,7.9,60.0,38.0
26,7.2,61.0,33.0
26,6.7,62.0,33.0
26,6.6,62.0,47.0
26,8.5,56.0,76.0
26,11.5,43.0,80.0
26,14.2,37.0,113.0
26,16.2,32.0,117.0
26,18.0,22.0,101.0
26,20.0,20.0,99.0
26,21.3,19.0,75.0
26,22.3,17.0,40.0
26,22.6,17.0,51.0
26,22.1,18.0,64.0
26,20.9,22.0,108.0
26,18.0,26.0,80.0
26,17.2,29.0,89.0
26,15.6,33.0,60.0
26,14.5,36.0,58.0
26,13.6,38.0,54.0
27,12.8,39.0,54.0
27,11.5,42.0,46.0
27,10.6,44.0,42.0
27,10.0,44.0,36.0
27,9.0,47.0,34.0
27,8.6,48.0,26.0
27,8.0,52.0,36.0
27,7.8,54.0,39.0
27,9.9,47.0,49.0
27,13.6,39.0,91.0
27,15.6,35.0,127.0
27,17.8,28.0,116.0
27,19.8,21.0,61.0
27,21.0,17.0,49.0
27,21.7,17.0,56.0
27,22.0,17.0,56.0
27,22.3,17.0,59.0
27,21.9,19.0,59.0
27,20.8,22.0,83.0
27,18.0,33.0,102.0
27,17.7,38.0,81.0
27,16.0,40.0,70.0
27,15.2,39.0,92.0
27,14.5,39.0,70.0
28,13.4,42.0,41.0
28,12.5,45.0,57.0
28,11.5,49.0,62.0
28,10.5,52.0,45.0
28,9.0,55.0,34.0
28,9.5,55.0,34.0
28,9.0,56.0,48.0
28,9.0,57.0,72.0
28,11.0,52.0,115.0
28,14.0,43.0,108.0
28,18.2,32.0,96.0
28,19.0,26.0,62.0
28,21.3,23.0,57.0
28,21.5,24.0,65.0
28,22.0,24.0,70.0
28,22.0,25.0,71.0
28,21.2,29.0,52.0
28,19.0,34.0,90.0
28,18.0,33.0,74.0
28,17.2,35.0,66.0
28,16.8,38.0,71.0
28,16.2,42.0,48.0
28,15.5,45.0,81.0
29,14.3,48.0,65.0
29,13.0,53.0,60.0
29,12.2,55.0,42.0
29,11.7,58.0,40.0
29,11.4,60.0,38.0
